Display Type,LinkedIn Link (map it to Links to get the logo),Startup Name ,Full Address,Description of startup,Website,Stage,# of Employees ,Section
profile,http://www.linkedin.com/company/alcomy,Alcomy,"815 West 1250 South, Orem, UT",alphaMountain's mission is to build next-generation cybersecurity products and services to enhance malicious investigations and protect individuals on the Internet.,alcomy.com,,2-10,B2B Software
profile,http://www.linkedin.com/company/alphamountain,alphaMountain,"1557 West Innovation Way, Lehi, UT",,www.alphamountain.ai,Seed ,2-10,Security 
profile,http://www.linkedin.com/company/altitude-ai,Altitude AI,"215 South State Street, Salt Lake City, UT","Our mission is to accelerate the Fourth Industrial Revolution. We will do this through leveraging our proprietary software, Altitude OS. 

Our platform processes raw data from cameras and force sensors using best-in-class computer vision algorithms developed in-house. The results of that perception drives intelligent motion commands for existing industrial robots. This enables industrial robots to perform advanced and never before seen tasks in pre-existing environments.",www.altitudeai.ai,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/alysio,Alysio,"1637 East Harrison Avenue, Salt Lake City, UT","People performance management for sales. Alysio provides a transformation to the way you scale your sales team. It's the platform used by the world's leading enterprises to improve productivity, understand the individual and have dependability around revenue forecasting.
",www.alysio.ai,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/bracket-labs,Bracket Labs,"2901 West Bluegrass Boulevard, Lehi, UT",Bracket Is Liquid Staked DeFi. Backed By Binance Labs.,www.bracket.fi,Seed ,2-10,FinTech
profile,http://www.linkedin.com/company/trycrew,Crew ,"2000 Ashton Boulevard, Lehi, UT",Crew is a neobank for families. We help parents manage their own finances while empowering them to teach their children financial literacy.,www.trycrew.com,Seed ,2-10,FinTech
profile,http://www.linkedin.com/company/data-quality-co-op,Data Quality Co-Op,"Salt Lake City, UT","Data Quality Co-op ensures it's clients' business decisions, marketing campaigns and AI models are informed by high-quality, high-value data.",www.dataqualityco-op.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/deeppowerinc,DeepPower,"1633 West Innovation Way, Lehi, UT",Developing a breakthrough geothermal drilling technology to access the Earth’s unlimited source of clean heat energy. ,www.deeppower.com,Series A ,2-10,Energy
profile,http://www.linkedin.com/company/domusdx,Domus Diagnostics,"1445 Settlement Drive, Park City, UT","Domus Diagnostics is working to create infectious disease diagnostic tests that are affordable, user-friendly, accurate, and rapid enough to address the needs raised by current and future public health crises.",www.domusdx.com,Seed ,2-10,Bio/Medical Tech
profile,http://www.linkedin.com/company/dónde,Dónde,"26 Rio Grand Street, Salt Lake City, UT","Dónde enables companies to offer travel as a benefit. Our platform allows companies to contribute to their employees time off activities, so they can return to work refreshed and able to do the best work of their lives.",www.godonde.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/dorai-home,Dorai,"1171 West 2400 South, West Valley City, UT","Conscientiously designed home products that help prevent bacteria and remove moisture with rapidly drying Diomat material. Dorai combines solutions found in nature with thoughtful design to create modern, organic home accessories for all surfaces that come in contact with water.",www.doraihome.com,Seed ,2-10,Consumer
profile,http://www.linkedin.com/company/joindree,dree,"139 Hunter's Grove Lane, Lehi, UT",Find a LaundryPro in your area and schedule your laundry service within 60 seconds.,www.dree.com,Seed ,2-10,Consumer
profile,http://www.linkedin.com/company/bemoredriven,Driven,"1355 South 960 East, Heber City, UT",A performance improvement tool for the Pest Control industry.,pestiq.webflow.io,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/eaglecorps,EagleCorps,"350 East 400 South, Salt Lake City, UT","Join us in addressing the veteran underemployment crisis by building cohesive veteran teams for IT-related fields. As a veteran-led and founded business, we are the experts in recruiting, training, and deploying veterans into your company. ",www.eaglecorps.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/ednition,Ednition,"18 West 1900 South, Kaysville, UT","Ednition helps Edtech developers build and scale amazing applications. Our first product, RosterStream, is a rostering infrastructure and automation platform. Basically, we make rostering awesome.",www.ednition.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/goerrand,Errand,"815 West 1250 South, Orem, UT","Errand is the world's first on-demand, totally customizable errand running service for busy people. Similar to other gig-economy companies such as DoorDash/Uber, Errand provides its customers with ""Errand Runners"" that can perform just about any errand under the sun.",www.goerrand.com,Seed ,2-10,Consumer
profile,http://www.linkedin.com/company/funner,Funner,,"Funner is helping students do fun things together.  Through an app, students can discover other students with shared interests and quickly invite them to get together.  Funner can tell you who the funnest people are.",www.funner.com,Seed ,2-10,Consumer
profile,http://www.linkedin.com/company/giddydefi,Giddy,"13894 South Bangerter Parkway, Draper, UT","Giddy is your personal portal to the blockchain. Our self-custody mobile wallet provides a safe, easy-to-manage place for users to hold, trade, earn, and even shop with their crypto.",www.giddy.co,Series A ,2-10,FinTech
profile,http://www.linkedin.com/company/inherent-biosciences-inc,Inherent Biosciences,"26 South Rio Grande Street, Salt Lake City, UT",Inherent Biosciences is pioneering epigenetic medicine for complex diseases.,www.inherentbio.com,Series A ,2-10,Bio/Medical Tech
profile,http://www.linkedin.com/company/jipejobs,Jipe,"1053 Blackstone Drive, Fruit Heights, UT","Jipe® enters the job search market to connect entry-level job seekers with local hiring businesses in a new and meaningful way. Jipe's mobile solution provides a cool and fun interface job seekers actually WANT to use. We give businesses the right candidates, remove the unnecessary processes, and make finding your next hire so much easier!",www.jipejobs.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/jobwise-recruiting,Veras ,"3400 North Ashton Boulevard, Lehi, UT","Veras is the first solution to help long-term care and senior housing operators save millions of dollars by optimizing your workforce with AI—cutting agency, overtime, overstaffing, churn, and time spent on scheduling and call-offs.",www.jobwise.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/ketonatural-pet-foods,KetoNatural Pet Foods,"181 E Edith Ave, Salt Lake City, Utah, 84111","We believe that the best way to make pets healthier and happier is by educating and empowering their owners. That's why we aspire to be the most honest, substantive, and progressive company in the history of the pet care industry.",www.ketonaturalpetfoods.com,Seed ,2-10,Consumer
profile,http://www.linkedin.com/company/getkolla,Kolla,"276 East 12200 South, Draper, UT","Kolla helps emerging and established DSOs get access to, and share their data across all their locations. We unlock your data so you can finally centralize your operations, truly customize your reporting, and take your organization to the next level.",www.getkolla.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/kradoinc,Krado,"2223 South Highland Drive, Salt Lake City, UT","Krado is an integrative plantcare system rooted real-time data that helps your plants prosper through leaflet, our app, growing plant database, and plant nourishment products - all delivered in a simple, frictionless subscription designed to precisely fit you and your plant’s needs.",www.krado.co,Seed ,2-10,Consumer
profile,http://www.linkedin.com/company/leash-laboratories,Leash Bio,"48 South Rio Grande Street, Salt Lake City, UT","Every single machine learning (ML)-driven breakthrough, from language translation to Go championships, was immediately preceded not by an algorithmic innovation but by a massive, well-controlled, purpose-built dataset. An ML-driven breakthrough in medicinal chemistry is going to require a similar dataset, but such high-quality, well-structured experimental data doesn’t exist yet. We're building that data set by making physical measurements of lots of targets (with automated in-house protein production) screened against lots of compounds (with DNA-encoded chemical libraries). We're also building the ML models, that will eventually be generalizable across any protein and novel medicines using insights from our models.",www.leash.bio,Seed ,2-10,Bio/Medical Tech
profile,http://www.linkedin.com/company/leewayhq,Leeway,"1920 Blaine Avenue, Salt Lake City, UT",Leeway is a modern benefits administration platform that empowers health insurance brokers and businesses to provide Individual Coverage Health Reimbursement Arrangements (ICHRA) using state-of-the-art technologies.,www.leewayhq.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/literalapp,Literal ,"1555 Freedom Boulevard, Provo, UT","1555 Freedom Boulevard, Provo, UT",www.literalapp.com,Series A ,2-10,B2B Software
profile,http://www.linkedin.com/company/looloo-us,LooLoo,"12101 State Street, Draper, UT",Manufacturer of automatic toilet freshener intended to eliminate toilet odors with a mist of natural essential oils and other simple ingredients. ,www.getlooloo.com,Seed ,2-10,Consumer
profile,http://www.linkedin.com/company/massetai,Masset,"815 South East Mountain Circle, Alpine, UT",Turn your B2B content into revenue. ,www.getmasset.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/mindsmith1,Mindsmith,"800 West University Parkway, Orem, UT",Mindsmith is an eLearning authoring tool that uses generative AI to turn the eLearning development process from hundreds of hours to minutes.,www.mindsmith.ai,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/nanospot-ai,NanoSpot.ai,"630 South Komas Drive, Salt Lake City, UT","NanoSpot.ai leverages an innovative agglutination-based approach paried with an artificial intelligence-driven mobile application to deliver rapid (<3min STA), accurate, and quantitative results to the point of care.",www.nanospot.ai,Seed ,2-10,Bio/Medical Tech
profile,http://www.linkedin.com/company/nodal-power,Nodal Power,"250 E 200 S, Salt Lake City UT 84111",Nodal Power produces renewable energy using landfill biogas. We give this otherwise underutilized gas a beneficial use by setting up renewable electricity power plants.,www.nodalpower.com,Seed ,2-10,Energy
profile,http://www.linkedin.com/company/pageport,Pageport,"272 North 100 East, American Fork, UT",Building hyper-personalized landing pages for every lead.,www.pageport.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/pale-blue-earth,Pale Blue,"2750 Rassmussen Road, Park City, UT","10 million batteries end up in US landfills every day. One pack of Paleblue can replace up to 4,000 alkalines. Save $$$, keep toxic disposable batteries out of landfills and join the rechargeable revolution!",www.paleblueearth.com,Seed ,2-10,Consumer
profile,https://www.linkedin.com/company/parakeet-financial/,Parakeet Financial,"Midvale, UT ","Parakeet is a cutting-edge compliance automation and risk management platform built specifically for industrial sector businesses. We streamline complex regulatory workflows, helping companies automate processes like regulatory reporting, risk assessments, ESG initiatives, and internal audits. Our platform empowers compliance, risk, and supply chain teams to handle these challenges more efficiently.",www.parakeetfinancial.com,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/pyrofex,Pyrofex,"4692 N 300 W, Orem, Utah, 84604","At Pyrofex Corporation, we're creating the next generation of blockchain platforms and decentralized applications.",pyrofex.net,Seed ,2-10,B2B Software
profile,https://www.linkedin.com/company/signalhero/,SignalHero ,"2376 East 3395 South, Salt Lake City, UT","Drive customer revenue with AI built for retention, cross-sell, and upsell.",www.signalhero.io,Seed ,2-10,B2B Software
profile,http://www.linkedin.com/company/iristechs,Roger ,"1441 Perry Avenue, Salt Lake City, UT","Roger is construction's collaboration workspace – keeping project managers focused, prioritized, and on track.",www.tryroger.com,Seed ,2-10,B2B Software
profile,https://www.linkedin.com/company/slipstream-medical/,Slipstream Medical,"299 South Main Street, Salt Lake City, UT","The developer of Stiletto, a direct-insertion intermediate-dwell catheter that provides up to 28 days of performance.",www.slipstreammedical.com,Series A ,2-10,Bio/Medical Tech
profile,http://www.linkedin.com/company/stream-os,StreamOS,Salt Lake City,"Bringing the state of the art of data and AI, streamOS empowers finance teams with a fully automated, configurable, auditable, and observable platform.",www.streamos.io,Seed ,2-10,FinTech
profile,http://www.linkedin.com/company/stumblofficial,stumbl,"5526 West 13400 South, Herriman, UT",Stumbul is a Marketplaces to discover bargains and hidden treasures from designer brands and boutiques.,www.stumbl.com,Seed ,2-10,Consumer
profile,https://www.linkedin.com/company/swyf-inc/,Swyf,Salt Lake City,"We're a group of ambitious software engineers, product creators, and most importantly, regular people that just want simple finance tools to help us live our life. We believe everyone should have access to the best financial options - no strings attached.",www.swyf.app,Seed ,2-10,FinTech
profile,http://www.linkedin.com/company/gettreads,Treads,"1090 Center Drive, Park City, UT",Treads is an AI-powered car management subscription designed to make car ownership more enjoyable by eliminating the hassle of car maintenance while making the roads safer for everyone.,www.treads.app,Seed ,2-10,Consumer
profile,http://www.linkedin.com/company/upkid,Upkid,"3450 Triumph Boulevard, Lehi, UT",Upkid is solving the child care shortage in America by providing daycares with qualified flexible staff.,www.upkid.com,Seed ,2-10,Marketplaces
profile,http://www.linkedin.com/company/viori-beauty,Viori,"1123 North 1430 West, Orem, UT","Our mission is to create highly-effective, natural cosmetics that honors the values and traditions of the Red Yao.",www.viori.com,Seed ,2-10,Consumer
profile,http://www.linkedin.com/company/yoodlize,Yoodlize,"826 South Carterville Road, Orem, UT","Meet Yoodlize, the peer-to-peer rental platform that makes it fun, safe, and easy to rent things to or from people in your area.",www.yoodlize.com,Seed ,2-10,Consumer
profile,http://www.linkedin.com/company/getzaymo,Zaymo,"560 South 100 West, Provo, UT",Zaymo is a tool for eCommerce brands to allow customers to shop in their emails by embedding the shopping experience,www.zaymo.com,Seed ,2-10,B2B Software
,,,,,,,,
profile,http://www.linkedin.com/company/after-com,After.com,"560 South 100 West, Provo, UT","After.com is the new home for funerals. We help families arrange and pre-plan simple cremations online in minutes with affordable, upfront pricing and absolutely no hidden costs or markups. Ever. We’re far from traditional, but we offer the same services and have the same licenses and credentials as traditional funeral homes. Our internet-first experience saves you time, money and energy for what matters—celebrating the life of your loved one.",www.after.com,Series A ,11-50,Consumer
profile,http://www.linkedin.com/company/applausehq,Applause,"5442 South 900 East, Salt Lake City, UT",Applause is a SaaS start-up founded by experienced entrepreneurs and backed by some of the best VCs in Silicon Slopes. We’re focused on helping companies supercharge their team’s performance so they can win more lifelong customers.,www.applausehq.com,Series A ,11-50,B2B Software
profile,http://www.linkedin.com/company/attestiv,Attestiv,"2701 North Thanksgiving Way, Lehi, UT","Attestiv puts authenticity into photos, videos and documents by utilizing advanced technologies in AI and tamper-proofing. Attestiv products create new efficiencies, offer unrivaled deepfake and fraud prevention and maintain interoperability with existing infrastructure.",www.attestiv.com,Seed ,11-50,Security 
profile,http://www.linkedin.com/company/realawsm,Awsm,,"We're a platform for brands to easily share equity with employees, customers, and influencers. The super power for loyalty you've been missing. Leverage ownership for boosted performance, increased growth, and enhanced retention across your teams, partners, ambassadors, and consumers. ",www.awsm.com,Seed ,11-50,FinTech
profile,http://www.linkedin.com/company/goboostly,Boostly,"560 South 100 West, Provo, UT",Boostly provides text marketing & feedback software for restaurants that works seamlessly with their POS & online ordering providers.,www.boostly.com,Seed ,11-50,B2B Software
profile,http://www.linkedin.com/company/getbritehr,Brite,"341 South Main Street Floor, Salt Lake City, UT",Brite is benefits education software built for benefits brokers. Our platform allows you to scale superior benefits education across any size client. Brite combines customizable content with integrated decision support tools to give employees an education experience like nothing they have ever experienced.,www.britebenefits.com,Series A ,11-50,B2B Software
profile,http://www.linkedin.com/company/brooksee,Brooksee,"374 South 671 West, Pleasant Grove, UT","Brooksee is redefining the endurance industry by producing world-class events and delivering cutting-edge timing technology. With a national portfolio that includes iconic races like the Portland Marathon, Las Vegas Marathon, Mesa Marathon, and the REVEL Race Series, Brooksee hosts over 60,000 participants annually.",www.brooksee.com,Seed ,11-50,B2B Software
profile,http://www.linkedin.com/company/builtforteams,Built for Teams,"155 North 400 West, Salt Lake City, UT","Built is a unique Position Intelligence platform that provides leaders with tools for organizational planning, scenario modeling, accurate headcount budgeting and reporting, and succession planning.",www.builtapp.com,Seed ,11-50,B2B Software
profile,http://www.linkedin.com/company/cardagraph,Cardagraph,"2961 Maple Loop Drive, Lehi, UT","Cardagraph is a product release roadmapping tool that uses AI to know what can fit on your roadmap. Plan with accurate + updated release timelines you can trust and stop running blind.
",www.cardagraph.com,Seed ,11-50,B2B Software
profile,http://www.linkedin.com/company/cinchplatform,Cinch ,"67 W 13490, Draper, UT 84020",Cinch is a marketing automation platform—built on an enterprise-level customer data platform. Why does that matter? Because the success of your marketing communications rests on the power of your customer database.,www.cinch.io,Seed ,11-50,B2B Software
profile,http://www.linkedin.com/company/cloud-storage-security,Cloud Storage Security,"1944 East Ashley Mesa Lane, Sandy, UT",Cloud Storage Security protects data in the cloud and on premises so that businesses can move forward freely and fearlessly.,cloudstoragesecurity.com,Series B ,11-50,Security 
profile,http://www.linkedin.com/company/joincontinuum,Continuum ,"2845 East 3365 South, Salt Lake City, UT","Continuum is a fractional executive Marketplaces for venture-backed startups. Find experienced, on-demand startup operators to help you navigate your most urgent company growth challenges.",joincontinuum.com,Series A ,11-50,B2B Software
profile,http://www.linkedin.com/company/dropletforms,Droplet ,"2701 North Thanksgiving Way, Lehi, UT","Droplet provides a software solution to eliminate paper documents and time consuming approval workflows. Built with school districts in mind but available to all! Digitize paper forms, add in multi-step approval & routing logic, collect e-signatures and keep all important documents in a secure location.",www.droplet.io,Seed ,11-50,B2B Software
profile,http://www.linkedin.com/company/getelements,Elements ,"879 Baxter Drive, South Jordan, UT",Elements gives financial planning firms the modern tools they need to quickly demonstrate value to prospective clients and consistently grow their revenue.,www.getelements.com,Seed ,11-50,FinTech
profile,http://www.linkedin.com/company/emberhome,Ember,"1850 W Ashton Blvd, Lehi, UT 84043","Ember is a real estate proptech company reimagining the vacation home experience through technology, service, and co-ownership.",www.emberhome.com,Series A ,11-50,Consumer
profile,http://www.linkedin.com/company/flowell-inc,Flowell,"419 East Coatsville Avenue, Salt Lake City, UT",We help health coaches land a job or start their business in half the time! Join a community dedicated to your success!,www.flowell.co,Seed ,11-50,Consumer
profile,http://www.linkedin.com/company/fluentworlds,FluentWorlds,"3317 North Cottonwood Lane, Provo, UT","VIEW builds immersive 3D e-learning environments with AI, linking learners to historical and modern expertise in tailored virtual worlds. The Company included three brands all laser-focused on taking learning to a new level - FluentWorlds, 3DMeet, and its latest innovation, QuikLearn.",www.fluentworlds.com,Seed ,11-50,B2B Software
profile,http://www.linkedin.com/company/sellgauge,Gauge,"332 East 3300 South, Salt Lake City, UT",We create a competitive bidding process to get you the most money possible for your vehicle at no cost or obligation to you. You can even use our free tools to help you sell privately at the same time.,www.sellgauge.com,Seed ,11-50,Consumer
profile,http://www.linkedin.com/company/heyhalda,Halda,"560 South 100 West, Provo, UT","At Halda, we're changing the game in enrollment marketing by making things simpler and more personal, kind of like your favorite streaming services. We help universities connect better with prospective students, guiding them smoothly from their first click all the way to enrollment",www.halda.ai,Seed ,11-50,B2B Software
profile,http://www.linkedin.com/company/halosight,Halosight,"13 West Wasatch Street, Midvale, UT","Halosight is AI for account managers and customer advisors who want to use every email, text, ticket, and conversation to prioritize, personalize, automate and coach. Turn customer interactions into profitable team improvements.",www.halosight.com,Series A ,11-50,B2B Software
profile,http://www.linkedin.com/company/joinleland,Leland,"2701 North Thanksgiving Way, Lehi, UT","Leland is a Marketplaces for ambitious people to access the coaching, classes, content, and community they need to reach career and educational goals.",www.joinleland.com,Series A ,11-50,Marketplaces
profile,http://www.linkedin.com/company/limit-break,Limit Break,"6300 North Sagewood Drive, Park City, UT",We combine the power of Web3 and creativity to build experiences that connect people from all corners of the globe.,www.limitbreak.com,Series B ,11-50,Consumer
profile,http://www.linkedin.com/company/metrodorainstitute,Metrodora Institute,"3535 South Market Street, West valley city, UT","Advancing care, diagnostics, and therapeutics for people living with complex multisystem disorders.",www.metrodora.co,Seed ,11-50,Bio/Medical Tech
profile,http://www.linkedin.com/company/getmobly,Mobly ,"2801 N Thanksgiving Way, Lehi, UT 84043","Introducing Mobly, an event-agnostic lead capture app. Just snap a picture of a badge or business card, and we'll convert to text, enrich it to create a fully-workable lead, and sync it with your CRM in seconds! No card? No problem! Just type in a name and company, and we'll do the rest!",www.getmobly.com,Seed ,11-50,B2B Software
profile,http://www.linkedin.com/company/livemodal,Modal Living,"Legal 150 South State Street, Salt Lake City, UT","We design our ADUs with your needs in mind and as a space you can utilize any way you like: a studio, mother-in-law apartment, extra residential space for your family, or as an income property.",www.livemodal.com,Seed ,11-50,Consumer
profile,http://www.linkedin.com/company/monarx,Monarx,"8 East Broadway, Salt Lake City, UT",Monarx offers a complete and advanced malware protection solution designed specifically for web hosts and server environments. ,www.monarx.com,Series A ,11-50,Security 
